groupId'albumId'file'description
11004536'166279845'1.jpg'демисезонное полупальто Selected, размер 50, цена 890р, р-н Заречье (Комсомольская)
11004536'166279814'2.jpg'осенняя куртка Адидас (настоящий, куплен в Финляндии), размер 44 (русский), цена 490р, на рост 168, р-н Заречье (Комсомольская)
11004536'166279814'3.jpg'Женский осенний плащ. состояние нового (несколько раз одевали, потом велик стал). Размер 44. Цена 1990р, р-н Заречье (Комсомольская)
11004536'166279785'4.jpg'Кроссовки Adidas классические, Goodyear. Размер 37,5 (24 см). Покупали за 4000 руб. Цена 990р, р-н Заречье (Комсомольская)
11004536'166279785'5.jpg'кроссовки BoyCot, размер 39, цена 190р, р-н Заречье (Комсомольская)
11004536'166279358'6.jpg'Новый зимний комбинезон Reima, 74+, Цена 2890р, р-н Заречье (Комсомольская)
11004536'166279358'7.jpg'куртка H&M unisex, состояние хорошее, холодная осень / теплая зима, до -10, размер 110, Цена 790р, р-н Заречье (Комсомольская)
11004536'166279358'8.jpg'зимняя кутка North Face (Финляндия), размер 120, холодная осень, теплая зима, цена 790р, р-н Заречье (Комсомольская)
11004536'166279358'9.jpg'Теплый, зимний пуховик на девочку ClaireDK (Дания), утеплитель 300г, размер 110, Цена 990р, р-н Заречье (Комсомольская)
11004536'166279358'10.jpg'Новый зимний пуховик Benetton, размер 130, Цена 2490р, р-н Заречье (Комсомольская)
11004536'166279358'11.jpg'Новая зимняя (горнолыжная) куртка на девочку и  мальчика Icepeak (Финляндия), размер 128, Цена 2490р, р-н Заречье (Комсомольская)
11004536'166279358'12.jpg'Новая зимняя куртка с утеплителем Lotta@Lassi (Финляндия). Размер 110. Цена 1690р, р-н Заречье (Комсомольская)
11004536'122639297'13.jpg'Новый осенний раздельный комбинезон Motions, размер 110 и 122, цена 1990р, р-н Заречье (Комсомольская)
11004536'122639297'14.jpg'Новый осенний раздельный комбинезон Reimatec, мембрана, водонепроницаемый, размер 92, цена 2990р, р-н Заречье (Комсомольская)
11004536'177694794'15.jpg'новая рейма зимняя, р50 (2-4 года), 690р, р-н Заречье (Комсомольская)
11004536'177694794'16.jpg'новая рейма зимняя (холодная осень / теплая зима), р48, 690р, р-н Заречье (Комсомольская)
11004536'177694794'17.jpg'новая рейма зимняя, р50 (2-4 года), 690р, р-н Заречье (Комсомольская)
11004536'177694794'18.jpg'шлем Kids (Финляндия), 1 - 3 года, на флисе, 390р, р-н Заречье (Комсомольская)
11004536'177694794'19.jpg'новая зимняя шапка Name It (Финляндия) на девочку, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
11004536'177694794'20.jpg'новая зимняя шапка Name It (Финляндия) на мальчика, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
11004536'177694794'21.jpg'Новая зимняя шапка Bogi на девочку, размер 47-49, Цена 590р, р-н Заречье (Комсомольская)
11004536'177694794'22.jpg'зимняя теплая шапка Kivat, размер 1 (1-3 года), 390р, р-н Заречье (Комсомольская)
11004536'177694794'23.jpg'Зимняя шапка H&M, р46-48, на флисе, цена 390р, р-н Заречье (Комсомольская)
11004536'177694794'24.jpg'новая зимняя шапка Ticket To Heaven, Дания, размер 1 (2-3 года), цена 690р, р-н Заречье (Комсомольская)
11004536'177694794'25.jpg'шапка зимняя H&M и варежки, размер 50-52, цена 390р, р-н Заречье (Комсомольская)
11004536'177694794'26.jpg'Новая зимняя (до -10) шапка Reima, размер 48, Цена 690р, р-н Заречье (Комсомольская)
11004536'177694794'27.jpg'Новая зимняя шапка Kivat на девочку, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
11004536'177694794'28.jpg'Новая зимняя шапка Kivat на мальчика, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
11004536'177694794'29.jpg'новая зимняя шапка Рейма, р52, 690р, р-н Заречье (Комсомольская)
11004536'177694794'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 590р, р-н Заречье (Комсомольская)
11004536'177694794'31.jpg'шапка для девочки H&M, Финляндия, зимняя, от 3 до 6 лет (на бирке размер: 104/116), в хорошем состоянии, состав: 80% хлопок. Цена 190р, р-н Заречье (Комсомольская)
11004536'111912244'32.jpg'новые коньки, размер 35, Цена 1990р, р-н Заречье (Комсомольская)
11004536'111912244'33.jpg'коньки, размер 34, заточенные, 1490р, р-н Заречье (Комсомольская)
11004536'111912244'34.jpg'наряд для фигурного катания для девочки, размер 120, цена 490р, р-н Заречье (Комсомольская)
