biddernro,sellernro,category,classification,addtime,closingtime,price_min,price_max,location,words,seller_type,sellstyle,status,zipcode,categoryenum
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,talvihaalari%20OR%20toppahaalari,,,,,
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,talvihousut%20OR%20toppahousut,,,,,
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,talvitakki%20OR%20toppatakki,,,,,
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,v%E4likausihousut,,,,,
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,v%E4likausitakki,,,,,
,,,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,v%E4likausihaalari,,,,,
,,728-736#736,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Ecco,,,,,
,,728-736#736,new,-1800,,,1500,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Viking,,,,,
,,728-736#736,new,-1800,,,1000,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Kuoma,,,,,
,,728-736#736,new,-1800,,,1150,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Kavat,,,,,
,,728-736#736,new,-1800,,,1150,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Reimatec,,,,,
,,159,,-1800,,,1150,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Risport,,,,,
,,159,,-1800,,,1150,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,Riedell,,,,,
,,,1,-1800,,,1150,Espoo%20OR%20Helsinki%20OR%20Vantaa%20OR%20Kauniainen,monot,,,,,
