groupId'albumId'file'description

// Барахолка *ДЛЯ ВАС* объявления, реклама, продажа

//41752168'161466766'168.jpg'Новые кроссовки Adidas Lightster Stab, р45 (28,5см), с биркой, ц3190р, р-н Заречье (Комсомольская)
41752168'170352016'174.jpg'Новый зимний (теплая зима, холодная весна/осень, до -10) комплект Ciraf, размер 92, цена 2790р, р-н Заречье (Комсомольская)
//41752168'170353008'185.jpg'Босоножки Викинг, размер 28 (18 см), состояние очень хорошее (носили только 1 лето), 690р, р-н Заречье (Комсомольская)//
//41752168'170353008'186.jpg'викинги лето/теплая осень, р27 (17 см), 490р, р-н Заречье (Комсомольская)\\
//41752168'170353008'4.jpg'ботинки Reimatec для холодной весны/осени или теплой зимы (до -10), р28 (18,5 см), 690р, р-н Заречье (Комсомольская)
//41752168'170353008'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, р-н Заречье (Комсомольская)
//41752168'170353119'187.jpg'викинги лето/теплая осень, р34 (21,5 см), 390р, р-н Заречье (Комсомольская)\\
//41752168'170353119'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, р-н Заречье (Комсомольская)
//41752168'170352016'16.jpg'новая рейма (холодная весна / теплая зима), р48, 690р, р-н Заречье (Комсомольская)
//41752168'170352016'23.jpg'Зимняя шапка H&M, р46-48, на флисе, цена 390р, р-н Заречье (Комсомольская)
//41752168'170352016'25.jpg'шапка зимняя H&M и варежки, размер 50-52, цена 390р, р-н Заречье (Комсомольская)//
//41752168'170352016'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 390р, р-н Заречье (Комсомольская)
//41752168'170352016'20.jpg'новая (теплая зима / холодная весна) шапка Name It (Финляндия) на мальчика, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
//41752168'170352016'26.jpg'Новая осень/весна шапка Reima, размер 48 (1 - 2 года), Цена 690р, р-н Заречье (Комсомольская)
//41752168'170352016'28.jpg'Новая осень/весна шапка Kivat на мальчика, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
//41752168'170352016'29.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//41752168'170352016'94.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//41752168'170353231'101.jpg'летние женские кроссовки Columbia, р39 (24,5см), цена 690р, р-н Заречье (Комсомольская)//
//41752168'170353231'170.jpg'Новые женские кроссовки Adidas Lightster Stab W, размер 36 (23,5 см), 3190р, р-н Заречье (Комсомольская)
//41752168'170353231'169.jpg'Новые кроссовки Salomon, р36 (22,5 см), ц2590р, р-н Заречье (Комсомольская)
//41752168'161466768'2.jpg'весенняя куртка Адидас (настоящий, куплен в Финляндии), размер 44 (русский), цена 490р, на рост 168, р-н Заречье (Комсомольская)
41752168'170352016'201.jpg'Новый зимний комбинезон Everest, теплый до -20, водонепроницаемый, размер 98/104/110/116, цена 4290р, р-н Заречье (Комсомольская)
41752168'170353008'202.jpg'Новые зимние сапоги Viking, на мальчика, до -30, мембрана Goretex, р28 (18 см), цена 3790р, р-н Заречье (Комсомольская)
41752168'170352016'204.jpg'Новая осень/весна куртка Name It snowboard, легкий утеплитель до -5, подходит для лыж, размер 116, цена 2490р, р-н Заречье (Комсомольская)
41752168'170352016'205.jpg'Новые зимние штаны Everest, теплые до -20, водонепроницаемые, размер 104, цена 2690р, р-н Заречье (Комсомольская)
41752168'170352016'207.jpg'Новая осень/весна куртка Everest, легкий утеплитель до -5, водонепроницаемая, размер 86/92, цена 2990р, р-н Заречье (Комсомольская)
41752168'170353008'209.jpg'Новые зимние сапоги Kuoma, р27, цена 3190р, р-н Заречье (Комсомольская)
41752168'170352016'211.jpg'Новый зимний комбинезон Name It, теплый до -25, подклад флис, водонепроницаемый, размер 80, цена 3990р, р-н Заречье (Комсомольская)
41752168'170352016'214.jpg'осень/весна куртка Benetton, легкий утеплитель до -5, в хорошем состоянии, размер 120, цена 990р, р-н Заречье (Комсомольская)
41752168'170352016'215.jpg'Reima зимний (холодная осень/весна, теплая зима, до -10), комбинезон на новорожденного, идеальное состояние, р68-74, 1790р р-н Заречье (Комсомольская)
41752168'170352016'224.jpg'Новая поддева с подкладкой Tutta. Размер 70. Подходит, как для зимы в качестве поддевы, так и для теплой погоды от +10 в качестве верха. Цена 1390р, р-н Заречье (Комсомольская)
41752168'170352016'216.jpg'Новый зимний комплект Everest, на девочку, водонепроницаемый, размер 128, цена 4490р, р-н Заречье (Комсомольская)
41752168'170353008'222.jpg'Новые зимние сапоги Everest, на девочку, р26 (17 см), водонепроницаемые, цена 1990р, р-н Заречье (Комсомольская)
41752168'170353008'223.jpg'Новые зимние сапоги Salomon, р31 (20 см), водонепроницаемые, цена 2990р, р-н Заречье (Комсомольская)

// БАРАХОЛКА - ВОЛОГДА <=== КУПИТЬ - ПРОДАТЬ ===>

//9235443'183690065'168.jpg'Новые кроссовки Adidas Lightster Stab, р45 (28,5см), с биркой, ц3190р, р-н Заречье (Комсомольская)
9235443'183690165'174.jpg'Новый зимний (теплая зима, холодная весна/осень, до -10) комплект Ciraf, размер 92, цена 2790р, р-н Заречье (Комсомольская)
//9235443'183690185'185.jpg'Босоножки Викинг, размер 28 (18 см), состояние очень хорошее (носили только 1 лето), 690р, р-н Заречье (Комсомольская)//
//9235443'183690185'186.jpg'викинги лето/теплая осень, р27 (17 см), 490р, р-н Заречье (Комсомольская)\\
//9235443'183690185'4.jpg'ботинки Reimatec для холодной весны/осени или теплой зимы (до -10), р28 (18,5 см), 690р, р-н Заречье (Комсомольская)
//9235443'183690185'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, р-н Заречье (Комсомольская)
//9235443'183690185'187.jpg'викинги лето/теплая осень, р34 (21,5 см), 390р, р-н Заречье (Комсомольская)\\
//9235443'183690185'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, р-н Заречье (Комсомольская)
//9235443'183690176'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 390р, р-н Заречье (Комсомольская)
//9235443'183690176'23.jpg'Зимняя шапка H&M, р46-48, на флисе, цена 390р, р-н Заречье (Комсомольская)
//9235443'183690165'25.jpg'шапка зимняя H&M и варежки, размер 50-52, цена 390р, р-н Заречье (Комсомольская)//
//9235443'183690176'16.jpg'новая рейма (холодная весна / теплая зима), р48, 690р, р-н Заречье (Комсомольская)
//9235443'183690176'20.jpg'новая (теплая зима / холодная весна) шапка Name It (Финляндия) на мальчика, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
//9235443'183690176'26.jpg'Новая осень/весна шапка Reima, размер 48 (1 - 2 года), Цена 690р, р-н Заречье (Комсомольская)
//9235443'183690176'28.jpg'Новая осень/весна шапка Kivat на мальчика, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
//9235443'183690176'29.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//9235443'183690176'94.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//9235443'183690042'101.jpg'летние женские кроссовки Columbia, р39 (24,5см), цена 690р, р-н Заречье (Комсомольская)//
//9235443'183690042'170.jpg'Новые женские кроссовки Adidas Lightster Stab W, размер 36 (23,5 см), 3190р, р-н Заречье (Комсомольская)
//9235443'183690042'169.jpg'Новые кроссовки Salomon, р36 (22,5 см), ц2590р, р-н Заречье (Комсомольская)
//9235443'183690055'2.jpg'весенняя куртка Адидас (настоящий, куплен в Финляндии), размер 44 (русский), цена 490р, на рост 168, р-н Заречье (Комсомольская)
9235443'183690176'201.jpg'Новый зимний комбинезон Everest, теплый до -20, водонепроницаемый, размер 98/104/110/116, цена 4290р, р-н Заречье (Комсомольская)
9235443'183690185'202.jpg'Новые зимние сапоги Viking, на мальчика, до -30, мембрана Goretex, р28 (18 см), цена 3790р, р-н Заречье (Комсомольская)
9235443'183690176'204.jpg'Новая осень/весна куртка Name It snowboard, легкий утеплитель до -5, подходит для лыж, размер 116, цена 2490р, р-н Заречье (Комсомольская)
9235443'183690176'205.jpg'Новые зимние штаны Everest, теплые до -20, водонепроницаемые, размер 104, цена 2690р, р-н Заречье (Комсомольская)
9235443'183690176'207.jpg'Новая осень/весна куртка Everest, легкий утеплитель до -5, водонепроницаемая, размер 86/92, цена 2990р, р-н Заречье (Комсомольская)
9235443'183690185'209.jpg'Новые зимние сапоги Kuoma, р27, цена 3190р, р-н Заречье (Комсомольская)
9235443'183690176'211.jpg'Новый зимний комбинезон Name It, теплый до -25, подклад флис, водонепроницаемый, размер 80, цена 3990р, р-н Заречье (Комсомольская)
9235443'183690176'214.jpg'осень/весна куртка Benetton, легкий утеплитель до -5, в хорошем состоянии, размер 120, цена 990р, р-н Заречье (Комсомольская)
9235443'183690176'215.jpg'Reima зимний (холодная осень/весна, теплая зима, до -10), комбинезон на новорожденного, идеальное состояние, р68-74, 1790р р-н Заречье (Комсомольская)
9235443'183690176'224.jpg'Новая поддева с подкладкой Tutta. Размер 70. Подходит, как для зимы в качестве поддевы, так и для теплой погоды от +10 в качестве верха. Цена 1390р, р-н Заречье (Комсомольская)
9235443'183690176'216.jpg'Новый зимний комплект Everest, на девочку, водонепроницаемый, размер 128, цена 4490р, р-н Заречье (Комсомольская)
9235443'183690185'222.jpg'Новые зимние сапоги Everest, на девочку, р26 (17 см), водонепроницаемые, цена 1990р, р-н Заречье (Комсомольская)
9235443'183690185'223.jpg'Новые зимние сапоги Salomon, р31 (20 см), водонепроницаемые, цена 2990р, р-н Заречье (Комсомольская)

// 35 РЕГИОН © Новости Вологда | Барахолка

//43680538'163958406'168.jpg'Новые кроссовки Adidas Lightster Stab, р45 (28,5см), с биркой, ц3190р, р-н Заречье (Комсомольская)
43680538'163620595'174.jpg'Новый зимний (теплая зима, холодная весна/осень, до -10) комплект Ciraf, размер 92, цена 2790р, р-н Заречье (Комсомольская)
//43680538'163621810'185.jpg'Босоножки Викинг, размер 28 (18 см), состояние очень хорошее (носили только 1 лето), 690р, р-н Заречье (Комсомольская)//
//43680538'163621810'186.jpg'викинги лето/теплая осень, р27 (17 см), 490р, р-н Заречье (Комсомольская)\\
//43680538'163621810'4.jpg'ботинки Reimatec для холодной весны/осени или теплой зимы (до -10), р28 (18,5 см), 690р, р-н Заречье (Комсомольская)
//43680538'163622034'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, р-н Заречье (Комсомольская)
//43680538'163621810'187.jpg'викинги лето/теплая осень, р34 (21,5 см), 390р, р-н Заречье (Комсомольская)\\
//43680538'163622034'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, р-н Заречье (Комсомольская)
//43680538'163620595'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 390р, р-н Заречье (Комсомольская)
//43680538'163567408'23.jpg'Зимняя шапка H&M, р46-48, на флисе, цена 390р, р-н Заречье (Комсомольская)
//43680538'163567408'25.jpg'шапка зимняя H&M и варежки, размер 50-52, цена 390р, р-н Заречье (Комсомольская)//
//43680538'163620595'16.jpg'новая рейма (холодная весна / теплая зима), р48, 690р, р-н Заречье (Комсомольская)
//43680538'163620595'20.jpg'новая (теплая зима / холодная весна) шапка Name It (Финляндия) на мальчика, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
//43680538'163620595'26.jpg'Новая осень/весна шапка Reima, размер 48 (1 - 2 года), Цена 690р, р-н Заречье (Комсомольская)
//43680538'163620595'28.jpg'Новая осень/весна шапка Kivat на мальчика, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
//43680538'163620595'29.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//43680538'163620595'94.jpg'новая осень/весна шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
//43680538'163958341'101.jpg'летние женские кроссовки Columbia, р39 (24,5см), цена 690р, р-н Заречье (Комсомольская)//
//43680538'163958341'170.jpg'Новые женские кроссовки Adidas Lightster Stab W, размер 36 (23,5 см), 3190р, р-н Заречье (Комсомольская)
//43680538'163958341'169.jpg'Новые кроссовки Salomon, р36 (22,5 см), ц2590р, р-н Заречье (Комсомольская)
//43680538'163958439'2.jpg'весенняя куртка Адидас (настоящий, куплен в Финляндии), размер 44 (русский), цена 490р, на рост 168, р-н Заречье (Комсомольская)
43680538'163620595'201.jpg'Новый зимний комбинезон Everest, теплый до -20, водонепроницаемый, размер 98/104/110/116, цена 4290р, р-н Заречье (Комсомольская)
43680538'163621810'202.jpg'Новые зимние сапоги Viking, на мальчика, до -30, мембрана Goretex, р28 (18 см), цена 3790р, р-н Заречье (Комсомольская)
43680538'163620595'204.jpg'Новая осень/весна куртка Name It snowboard, легкий утеплитель до -5, подходит для лыж, размер 116, цена 2490р, р-н Заречье (Комсомольская)
43680538'163620595'205.jpg'Новые зимние штаны Everest, теплые до -20, водонепроницаемые, размер 104, цена 2690р, р-н Заречье (Комсомольская)
43680538'163620595'207.jpg'Новая осень/весна куртка Everest, легкий утеплитель до -5, водонепроницаемая, размер 86/92, цена 2990р, р-н Заречье (Комсомольская)
43680538'163621810'209.jpg'Новые зимние сапоги Kuoma, р27, цена 3190р, р-н Заречье (Комсомольская)
43680538'163620595'211.jpg'Новый зимний комбинезон Name It, теплый до -25, подклад флис, водонепроницаемый, размер 80, цена 3990р, р-н Заречье (Комсомольская)
43680538'163620595'214.jpg'осень/весна куртка Benetton, легкий утеплитель до -5, в хорошем состоянии, размер 120, цена 990р, р-н Заречье (Комсомольская)
43680538'163620595'215.jpg'Reima зимний (холодная осень/весна, теплая зима, до -10), комбинезон на новорожденного, идеальное состояние, р68-74, 1790р р-н Заречье (Комсомольская)
43680538'163620595'224.jpg'Новая поддева с подкладкой Tutta. Размер 70. Подходит, как для зимы в качестве поддевы, так и для теплой погоды от +10 в качестве верха. Цена 1390р, р-н Заречье (Комсомольская)
43680538'163620595'216.jpg'Новый зимний комплект Everest, на девочку, водонепроницаемый, размер 128, цена 4490р, р-н Заречье (Комсомольская)
43680538'163621810'222.jpg'Новые зимние сапоги Everest, на девочку, р26 (17 см), водонепроницаемые, цена 1990р, р-н Заречье (Комсомольская)
43680538'163621810'223.jpg'Новые зимние сапоги Salomon, р31 (20 см), водонепроницаемые, цена 2990р, р-н Заречье (Комсомольская)

//// БаРаХоЛкА Череповец - Вологда
//
//60814568'182126519'168.jpg'Новые кроссовки Adidas Lightster Stab, р45 (28,5см), с биркой, ц3190р, р-н Заречье (Комсомольская)
60814568'182126519'174.jpg'Новый зимний (теплая зима, холодная весна/осень, до -10) комплект Ciraf, размер 92, цена 2790р, р-н Заречье (Комсомольская)
//60814568'182126519'185.jpg'Босоножки Викинг, размер 28 (18 см), состояние очень хорошее (носили только 1 лето), 690р, р-н Заречье (Комсомольская)//
//60814568'182126519'186.jpg'викинги лето/теплая осень, р27 (17 см), 490р, р-н Заречье (Комсомольская)\\
//60814568'182126519'4.jpg'ботинки Reimatec для холодной весны/осени или теплой зимы (до -10), р28 (18,5 см), 690р, р-н Заречье (Комсомольская)
//60814568'182126519'11.jpg'Новые зимние ботинки Reimatec на мальчика, р25, цена 2890р, р-н Заречье (Комсомольская)
//60814568'182126519'187.jpg'викинги лето/теплая осень, р34 (21,5 см), 390р, р-н Заречье (Комсомольская)\\
//60814568'182126519'156.jpg'Новые зимние ботинки Viking на девочку, до -30, мембрана Goretex, р26 (17 см), цена 3390р, р-н Заречье (Комсомольская)
//60814568'182126519'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 390р, р-н Заречье (Комсомольская)
//60814568'182126519'23.jpg'Зимняя шапка H&M, р46-48, на флисе, цена 390р, р-н Заречье (Комсомольская)
//60814568'182126519'25.jpg'шапка зимняя H&M и варежки, размер 50-52, цена 390р, р-н Заречье (Комсомольская)//
